time,cs,freezing
0,0,0
0.000015,0,0
0.000017,0,0
0.000018,0,0
0.00002,0,0
0.000022,0,0
0.000023,0,0
0.000025,0,0
0.000026,0,0
0.000028,0,0
0.00003,0,0
0.000031,0,0
0.000033,0,0
0.000035,0,0
0.000036,0,0
0.000038,0,1
0.000039,0,1
0.000041,0,1
0.000043,0,1
0.000044,0,1
0.000046,0,1
0.000048,0,1
0.000049,0,1
0.000051,0,1
0.000052,0,1
0.000054,0,1
0.000056,0,1
0.000057,0,0
0.000059,0,0
0.00006,0,0
0.000062,0,0
0.000064,0,0
0.000065,0,0
0.000067,0,0
0.000069,0,0
0.00007,0,0
0.000072,0,0
0.000073,0,0
0.000075,0,0
0.000077,0,0
0.000078,0,0
0.00008,0,0
0.000082,0,0
0.000083,0,0
0.000085,0,0
0.000086,0,0
0.000088,0,0
0.00009,0,0
0.000091,0,0
0.000093,0,0
0.000095,0,0
0.000096,0,0
0.000098,0,0
0.000099,0,0
0.000101,0,0
0.000103,0,0
0.000104,0,0
0.000106,0,0
0.000108,0,0
0.000109,0,0
0.000111,0,0
0.000112,0,0
0.000114,0,0
0.000115,0,0
0.000117,0,0
0.000119,0,0
0.00012,0,0
0.000122,0,0
0.000124,0,0
0.000125,0,0
0.000127,0,0
0.000128,0,0
0.00013,0,0
0.000132,0,0
0.000133,0,0
0.000135,0,0
0.000137,0,0
0.000138,0,0
0.00014,0,0
0.000141,0,0
0.000143,0,0
0.000145,0,0
0.000146,0,0
0.000148,0,0
0.00015,0,0
0.000151,0,0
0.000159,0,0
0.000161,0,0
0.000163,0,0
0.000164,0,0
0.000185,0,1
0.000201,0,0
0.000208,0,0
0.00021,0,0
0.000237,0,0
0.000239,0,0
0.00024,0,0
0.000242,0,0
0.000244,0,0
0.000245,0,0
0.000247,0,0
0.000248,0,0
0.000252,0,0
0.000292,0,0
0.000297,0,0
0.000299,0,0
0.0003,0,0
0.000302,0,0
0.000303,0,0
0.000305,0,0
0.000307,0,0
0.000308,0,0
0.00031,0,0
0.000312,0,0
0.000313,0,0
0.000315,0,0
0.000316,0,0
0.000318,0,0
0.00032,0,0
0.000321,0,0
0.000323,0,0
0.000325,0,0
0.000326,0,0
0.000328,0,0
0.000329,0,0
0.000333,0,0
0.000334,0,0
0.000336,0,0
0.000338,0,0
0.000339,0,0
0.000341,0,0
0.000342,0,0
0.000344,0,0
0.000346,0,0
0.000347,0,0
0.000349,0,0
0.00035,0,0
0.000352,0,0
0.000354,0,0
0.000355,0,0
0.000357,0,0
0.000359,0,0
0.00036,0,0
0.000362,0,0
0.000363,0,0
0.000365,0,0
0.000367,0,0
0.000368,0,0
0.00037,0,0
0.000372,0,0
0.000373,0,0
0.000375,0,0
